"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Review Product Feature","[Negative Case] The User Reduce a Product Review with Login","0","0","1","0","0"
"","Logout Feature","[Negative Case] The User Cancel Logout","0","0","1","0","0"
"","Buy Product","[Positive Case] The User Success Added a Product when Logged in","0","0","1","0","0"
"","Review Product Feature","[Positive Case] The User Add a Product Review with Login","0","0","1","0","0"
"","Review Product Feature","[Negative Case] The User Add a Product Review without Login","0","0","1","0","0"
"","Login Feature","[Negative Case] The User Login without Input Password","0","0","0","1","0"
"","Login Feature","[Negative Case] The User Login without Input Username","0","0","1","0","0"
"","Login Feature","[Positive Case] The User Login with Valid Credentials","0","0","1","0","0"
"","Buy Product","[Negative Case] The User Success Added a Product without Login","0","0","1","0","0"
"","Logout Feature","[Positive Case] The User Success Logout","0","0","1","0","0"
"","Login Feature","[Negative Case] The User Login with Invalid Credentials","0","0","1","0","0"
"","Buy Product","[Negative Case] The User Remove Item on Cart","0","1","0","0","0"
"","Buy Product","[Positive Case] The User Success Added More Then One Product when Logged in","0","0","1","0","0"
